"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.33,0.58,0.09,"ALBERTCARL","OK",3,1.68,1.22,3.75,0,0.33,0.81,93,0,0,0,0,0
0.19,0.51,0.31,"ARENDSLESLIEC","IL",15,0.28,0.29,4.14,0,0.87,0.92,93,0,0,0,0,1
0.13,0.67,0.2,"ASHLEYTHOMASL","OH",9,0.74,1.34,3.74,0,0.47,1.06,93,0,0,0,0,0
0.23,0.62,0.14,"ASHLEYTHOMASL","OH",9,0.11,1.29,3.75,0,0.53,1.09,94,0,0,0,0,0
0.1,0.68,0.22,"ASHLEYTHOMASL","OH",9,0.2,0.7,3.8,0,0.6,1.14,95,0,0,0,0,0
0.09,0.66,0.24,"ASHLEYTHOMASL","OH",9,0.68,1.71,3.78,0,0.6,1.09,96,1,0,1,0,0
0.28,0.56,0.16,"BARRETTWILLIAMA","PA",1,0.64,1.71,4.79,0,0.87,1.23,93,0,0,0,0,0
0.13,0.73,0.14,"BARRETTWILLIAMA","PA",1,1.03,1.71,4.58,0,0.93,1.27,94,0,0,0,0,1
0.51,0.31,0.18,"BENNETTCHARLESE","FL",3,1.24,1.71,3.74,0,0.6,0.06,93,0,0,0,0,0
0.16,0.56,0.27,"BENNETTCHARLESE","FL",3,1.32,1.71,3.62,0,0.47,0.08,98,0,0,0,0,0
0.19,0.54,0.27,"BENNETTCHARLESE","FL",3,1.93,1.71,3.6,0,0.53,0.08,99,0,0,0,0,0
0.08,0.62,0.31,"BENNETTCHARLESE","FL",3,0.88,1.71,3.41,0,0.47,0.08,102,0,0,0,0,1
0.29,0.49,0.21,"BLATNIKJOHNANTON","MN",8,1,1.07,4.44,0,0.2,1.26,93,1,0,0,0,1
0.14,0.64,0.22,"BOLANDEDWARDP","MA",2,1.93,1.71,4.31,0,0.6,0.78,93,0,0,0,0,0
0.18,0.64,0.18,"BOLANDEDWARDP","MA",2,1.93,1.71,4.29,0,0.67,0.8,94,0,0,0,0,0
